[19:23:24] Epoch 1/200, Iter 37/228,Total Loss 0.551748, Loss_seg 1.614166,fusecross:0.669617, fusedice:0.944548,spec_modal_loss:1.921646237373352 , circleloss[loss flair->t1:0.548626, loss t1->t1c:0.557358, loss t1c->t2:0.629227, loss t2->flair:0.551748, ], use_modality:[0, 3, 2, 1]
[19:23:25] Epoch 1/200, Iter 38/228,Total Loss 0.545750, Loss_seg 1.527415,fusecross:0.662905, fusedice:0.864510,spec_modal_loss:1.1919375658035278 , circleloss[loss flair->t1:0.542915, loss t1->t1c:0.552647, loss t1c->t2:0.627111, loss t2->flair:0.545750, ], use_modality:[3, 0, 2, 1]
[19:23:25] Epoch 1/200, Iter 39/228,Total Loss 0.547952, Loss_seg 1.663103,fusecross:0.679254, fusedice:0.983848,spec_modal_loss:1.3624898195266724 , circleloss[loss flair->t1:0.534600, loss t1->t1c:0.554198, loss t1c->t2:0.612735, loss t2->flair:0.547952, ], use_modality:[3, 0, 1, 2]
[19:23:25] -------- Dice_ET = 0.0019829492977165475, Dice_WT = 0.16787820795172062, Dice_TC = 0.09278002808821217
[19:23:25] Epoch 1/200, Iter 40/228,Total Loss 0.544298, Loss_seg 1.619167,fusecross:0.675444, fusedice:0.943723,spec_modal_loss:1.0047941207885742 , circleloss[loss flair->t1:0.540407, loss t1->t1c:0.555712, loss t1c->t2:0.605396, loss t2->flair:0.544298, ], use_modality:[2, 1, 3, 0]
[19:23:26] Epoch 1/200, Iter 41/228,Total Loss 0.535228, Loss_seg 1.599637,fusecross:0.660321, fusedice:0.939315,spec_modal_loss:1.834545373916626 , circleloss[loss flair->t1:0.539054, loss t1->t1c:0.546638, loss t1c->t2:0.603190, loss t2->flair:0.535228, ], use_modality:[2, 1, 0, 3]
[19:23:26] Epoch 1/200, Iter 42/228,Total Loss 0.488401, Loss_seg 1.605647,fusecross:0.658628, fusedice:0.947019,spec_modal_loss:1.4241907596588135 , circleloss[loss flair->t1:0.476430, loss t1->t1c:0.481633, loss t1c->t2:0.539494, loss t2->flair:0.488401, ], use_modality:[3, 2, 1, 0]
[19:23:26] Epoch 1/200, Iter 43/228,Total Loss 0.533919, Loss_seg 1.639702,fusecross:0.672228, fusedice:0.967474,spec_modal_loss:1.3545339107513428 , circleloss[loss flair->t1:0.528008, loss t1->t1c:0.534222, loss t1c->t2:0.607136, loss t2->flair:0.533919, ], use_modality:[0, 1, 3, 2]
[19:23:26] Epoch 1/200, Iter 44/228,Total Loss 0.530707, Loss_seg 1.630538,fusecross:0.665974, fusedice:0.964564,spec_modal_loss:0.6874188184738159 , circleloss[loss flair->t1:0.528498, loss t1->t1c:0.549138, loss t1c->t2:0.611297, loss t2->flair:0.530707, ], use_modality:[2, 0, 3, 1]
[19:23:26] Epoch 1/200, Iter 45/228,Total Loss 0.539509, Loss_seg 1.631141,fusecross:0.661477, fusedice:0.969664,spec_modal_loss:0.9113644361495972 , circleloss[loss flair->t1:0.517516, loss t1->t1c:0.537326, loss t1c->t2:0.603981, loss t2->flair:0.539509, ], use_modality:[0, 1, 3, 2]
[19:23:27] Epoch 1/200, Iter 46/228,Total Loss 0.533722, Loss_seg 1.640674,fusecross:0.662205, fusedice:0.978469,spec_modal_loss:1.2300500869750977 , circleloss[loss flair->t1:0.524003, loss t1->t1c:0.538303, loss t1c->t2:0.599619, loss t2->flair:0.533722, ], use_modality:[0, 2, 3, 1]
[19:23:27] Epoch 1/200, Iter 47/228,Total Loss 0.531186, Loss_seg 1.588762,fusecross:0.652564, fusedice:0.936198,spec_modal_loss:1.1868727207183838 , circleloss[loss flair->t1:0.519783, loss t1->t1c:0.547406, loss t1c->t2:0.593909, loss t2->flair:0.531186, ], use_modality:[3, 1, 0, 2]
[19:23:27] Epoch 1/200, Iter 48/228,Total Loss 0.529995, Loss_seg 1.594861,fusecross:0.652561, fusedice:0.942300,spec_modal_loss:0.709868311882019 , circleloss[loss flair->t1:0.511124, loss t1->t1c:0.535619, loss t1c->t2:0.598408, loss t2->flair:0.529995, ], use_modality:[0, 3, 2, 1]
[19:23:28] Epoch 1/200, Iter 49/228,Total Loss 0.468985, Loss_seg 1.586647,fusecross:0.648165, fusedice:0.938483,spec_modal_loss:1.317962884902954 , circleloss[loss flair->t1:0.468043, loss t1->t1c:0.470703, loss t1c->t2:0.512376, loss t2->flair:0.468985, ], use_modality:[0, 1, 3, 2]
[19:23:28] Epoch 1/200, Iter 50/228,Total Loss 0.531517, Loss_seg 1.632127,fusecross:0.653870, fusedice:0.978257,spec_modal_loss:0.8683421611785889 , circleloss[loss flair->t1:0.516354, loss t1->t1c:0.530847, loss t1c->t2:0.597395, loss t2->flair:0.531517, ], use_modality:[0, 2, 3, 1]
[19:23:28] Epoch 1/200, Iter 51/228,Total Loss 0.518629, Loss_seg 1.595401,fusecross:0.652041, fusedice:0.943360,spec_modal_loss:1.1233515739440918 , circleloss[loss flair->t1:0.512126, loss t1->t1c:0.533083, loss t1c->t2:0.592052, loss t2->flair:0.518629, ], use_modality:[2, 1, 3, 0]
[19:23:29] Epoch 1/200, Iter 52/228,Total Loss 0.518198, Loss_seg 1.545058,fusecross:0.635333, fusedice:0.909725,spec_modal_loss:1.2392830848693848 , circleloss[loss flair->t1:0.512938, loss t1->t1c:0.535105, loss t1c->t2:0.590034, loss t2->flair:0.518198, ], use_modality:[2, 1, 3, 0]
[19:23:29] Epoch 1/200, Iter 53/228,Total Loss 0.525003, Loss_seg 1.607527,fusecross:0.645129, fusedice:0.962398,spec_modal_loss:0.5036210417747498 , circleloss[loss flair->t1:0.511123, loss t1->t1c:0.527982, loss t1c->t2:0.588920, loss t2->flair:0.525003, ], use_modality:[2, 3, 1, 0]
[19:23:29] Epoch 1/200, Iter 54/228,Total Loss 0.515181, Loss_seg 1.645777,fusecross:0.652018, fusedice:0.993759,spec_modal_loss:1.8406870365142822 , circleloss[loss flair->t1:0.508385, loss t1->t1c:0.517969, loss t1c->t2:0.581061, loss t2->flair:0.515181, ], use_modality:[0, 3, 2, 1]
