[19:21:40] Epoch 1/200, Iter 22/228,Total Loss 0.591409, Loss_seg 1.689323,fusecross:0.708383, fusedice:0.980941,spec_modal_loss:1.2791985273361206 , circleloss[loss flair->t1:0.595200, loss t1->t1c:0.602638, loss t1c->t2:0.670104, loss t2->flair:0.591409, ], use_modality:[1, 3, 0, 2]
[19:21:40] Epoch 1/200, Iter 23/228,Total Loss 0.589440, Loss_seg 1.689437,fusecross:0.703443, fusedice:0.985994,spec_modal_loss:1.3596515655517578 , circleloss[loss flair->t1:0.582689, loss t1->t1c:0.593975, loss t1c->t2:0.668321, loss t2->flair:0.589440, ], use_modality:[1, 2, 0, 3]
[19:21:40] Epoch 1/200, Iter 24/228,Total Loss 0.578537, Loss_seg 1.681205,fusecross:0.703515, fusedice:0.977690,spec_modal_loss:1.1376312971115112 , circleloss[loss flair->t1:0.586514, loss t1->t1c:0.590959, loss t1c->t2:0.661392, loss t2->flair:0.578537, ], use_modality:[2, 1, 3, 0]
[19:21:40] Epoch 1/200, Iter 25/228,Total Loss 0.581379, Loss_seg 1.615077,fusecross:0.690781, fusedice:0.924296,spec_modal_loss:1.3772965669631958 , circleloss[loss flair->t1:0.578153, loss t1->t1c:0.582386, loss t1c->t2:0.660047, loss t2->flair:0.581379, ], use_modality:[1, 3, 0, 2]
[19:21:40] Epoch 1/200, Iter 26/228,Total Loss 0.577193, Loss_seg 1.661409,fusecross:0.699509, fusedice:0.961900,spec_modal_loss:1.9398293495178223 , circleloss[loss flair->t1:0.571323, loss t1->t1c:0.588321, loss t1c->t2:0.655177, loss t2->flair:0.577193, ], use_modality:[0, 1, 2, 3]
[19:21:41] Epoch 1/200, Iter 27/228,Total Loss 0.520390, Loss_seg 1.680744,fusecross:0.698691, fusedice:0.982053,spec_modal_loss:1.054960012435913 , circleloss[loss flair->t1:0.517883, loss t1->t1c:0.514227, loss t1c->t2:0.563941, loss t2->flair:0.520390, ], use_modality:[1, 0, 3, 2]
[19:21:42] Epoch 1/200, Iter 28/228,Total Loss 0.575186, Loss_seg 1.658391,fusecross:0.697263, fusedice:0.961128,spec_modal_loss:1.2167221307754517 , circleloss[loss flair->t1:0.571867, loss t1->t1c:0.578139, loss t1c->t2:0.655617, loss t2->flair:0.575186, ], use_modality:[1, 0, 2, 3]
[19:21:42] Epoch 1/200, Iter 29/228,Total Loss 0.563992, Loss_seg 1.673957,fusecross:0.697564, fusedice:0.976393,spec_modal_loss:0.8595669269561768 , circleloss[loss flair->t1:0.570022, loss t1->t1c:0.575362, loss t1c->t2:0.640512, loss t2->flair:0.563992, ], use_modality:[1, 0, 3, 2]
[19:21:42] Epoch 1/200, Iter 30/228,Total Loss 0.564382, Loss_seg 1.687120,fusecross:0.696345, fusedice:0.990775,spec_modal_loss:0.7568923234939575 , circleloss[loss flair->t1:0.551826, loss t1->t1c:0.573557, loss t1c->t2:0.637844, loss t2->flair:0.564382, ], use_modality:[0, 3, 1, 2]
[19:21:43] Epoch 1/200, Iter 31/228,Total Loss 0.551627, Loss_seg 1.681538,fusecross:0.696729, fusedice:0.984809,spec_modal_loss:1.500450611114502 , circleloss[loss flair->t1:0.545188, loss t1->t1c:0.555246, loss t1c->t2:0.638243, loss t2->flair:0.551627, ], use_modality:[0, 3, 2, 1]
[19:21:43] Epoch 1/200, Iter 32/228,Total Loss 0.562132, Loss_seg 1.619516,fusecross:0.682266, fusedice:0.937250,spec_modal_loss:0.6656976938247681 , circleloss[loss flair->t1:0.557806, loss t1->t1c:0.568767, loss t1c->t2:0.638283, loss t2->flair:0.562132, ], use_modality:[0, 1, 3, 2]
[19:21:43] Epoch 1/200, Iter 33/228,Total Loss 0.550474, Loss_seg 1.648934,fusecross:0.690927, fusedice:0.958007,spec_modal_loss:1.992175579071045 , circleloss[loss flair->t1:0.541467, loss t1->t1c:0.547191, loss t1c->t2:0.636465, loss t2->flair:0.550474, ], use_modality:[1, 3, 0, 2]
[19:21:44] Epoch 1/200, Iter 34/228,Total Loss 0.553639, Loss_seg 1.612564,fusecross:0.683616, fusedice:0.928948,spec_modal_loss:1.2767040729522705 , circleloss[loss flair->t1:0.549708, loss t1->t1c:0.557869, loss t1c->t2:0.632913, loss t2->flair:0.553639, ], use_modality:[3, 2, 0, 1]
[19:21:44] Epoch 1/200, Iter 35/228,Total Loss 0.547376, Loss_seg 1.676273,fusecross:0.688451, fusedice:0.987821,spec_modal_loss:1.470735788345337 , circleloss[loss flair->t1:0.550662, loss t1->t1c:0.553339, loss t1c->t2:0.626626, loss t2->flair:0.547376, ], use_modality:[1, 2, 3, 0]
[19:21:44] Epoch 1/200, Iter 36/228,Total Loss 0.556615, Loss_seg 1.662559,fusecross:0.684206, fusedice:0.978353,spec_modal_loss:1.4845166206359863 , circleloss[loss flair->t1:0.550651, loss t1->t1c:0.563800, loss t1c->t2:0.629419, loss t2->flair:0.556615, ], use_modality:[1, 2, 3, 0]
